chain,is_completed
SkillChain-1,True
SkillChain-2,True
SkillChain-3,False
SkillChain-4,False
SkillChain-5,False
SkillChain-6,False
SkillChain-7,False
SkillChain-8,False
SkillChain-9,True
SkillChain-10,False
SkillChain-11,False
SkillChain-12,True
SkillChain-13,False
SkillChain-14,False
SkillChain-15,True
SkillChain-16,False
SkillChain-17,True
SkillChain-18,False
SkillChain-19,True
SkillChain-20,False
SkillChain-21,False
SkillChain-22,False
SkillChain-23,False
SkillChain-24,False
SkillChain-25,False
SkillChain-26,False
