option,salient event,num_goal_hits,num_executions,success_rate
global_option,,52,417872,0.00012444001991040318
goal_option_1,RRT Salient Episode 5,73,521,0.1401151631477927
goal_option_2,RRT Salient Episode 5,10,82,0.12195121951219512
goal_option_3,RRT Salient Episode 55,5,205,0.024390243902439025
goal_option_4,RRT Salient Episode 105,4,120,0.03333333333333333
goal_option_5,RRT Salient Episode 155,4,197,0.02030456852791878
goal_option_6,RRT Salient Episode 205,3,833,0.003601440576230492
goal_option_7,RRT Salient Episode 255,3,583,0.005145797598627788
goal_option_8,RRT Salient Episode 305,4,1285,0.0031128404669260703
goal_option_9,RRT Salient Episode 355,48,904,0.05309734513274336
goal_option_10,RRT Salient Episode 405,4,142,0.028169014084507043
goal_option_11,RRT Salient Episode 455,3,45,0.06666666666666667
goal_option_12,RRT Salient Episode 505,32,103,0.3106796116504854
goal_option_13,RRT Salient Episode 536,4,63,0.06349206349206349
goal_option_14,RRT Salient Episode 586,3,58,0.05172413793103448
goal_option_15,RRT Salient Episode 646,23,72,0.3194444444444444
goal_option_16,RRT Salient Episode 706,3,344,0.00872093023255814
goal_option_17,RRT Salient Episode 756,36,98,0.3673469387755102
goal_option_18,RRT Salient Episode 806,3,185,0.016216216216216217
option_17_0,,70,133,0.5263157894736842
goal_option_19,RRT Salient Episode 866,11,30,0.36666666666666664
goal_option_20,RRT Salient Episode 926,3,418,0.007177033492822967
goal_option_21,RRT Salient Episode 996,3,47,0.06382978723404255
goal_option_22,RRT Salient Episode 1096,3,195,0.015384615384615385
option_19_0,,13,93,0.13978494623655913
goal_option_23,RRT Salient Episode 1146,3,77,0.03896103896103896
goal_option_24,RRT Salient Episode 1206,3,140,0.02142857142857143
goal_option_25,RRT Salient Episode 1266,3,29,0.10344827586206896
goal_option_26,RRT Salient Episode 1476,3,18,0.16666666666666666
