chain,is_completed
SkillChain-1,True
SkillChain-2,True
SkillChain-3,True
SkillChain-4,False
SkillChain-5,True
SkillChain-6,False
SkillChain-7,False
SkillChain-8,False
SkillChain-9,False
SkillChain-10,False
SkillChain-11,True
SkillChain-12,False
SkillChain-13,False
SkillChain-14,False
SkillChain-15,True
SkillChain-16,False
SkillChain-17,False
SkillChain-18,False
SkillChain-19,False
SkillChain-20,False
SkillChain-21,False
SkillChain-22,False
SkillChain-23,False
SkillChain-24,True
SkillChain-25,False
SkillChain-26,True
SkillChain-27,False
SkillChain-28,False
SkillChain-29,False
SkillChain-30,False
SkillChain-31,True
SkillChain-32,True
SkillChain-33,False
SkillChain-34,False
SkillChain-35,False
SkillChain-36,False
SkillChain-37,False
SkillChain-38,False
SkillChain-39,False
SkillChain-40,False
SkillChain-41,False
SkillChain-42,True
SkillChain-43,False
SkillChain-44,False
SkillChain-45,False
SkillChain-46,False
SkillChain-47,False
SkillChain-48,False
SkillChain-49,False
SkillChain-50,False
SkillChain-51,False
SkillChain-52,False
SkillChain-53,False
SkillChain-54,False
SkillChain-55,True
SkillChain-56,False
SkillChain-57,False
SkillChain-58,False
SkillChain-59,False
SkillChain-60,False
SkillChain-61,True
SkillChain-62,False
SkillChain-63,False
SkillChain-64,False
SkillChain-65,False
SkillChain-66,True
SkillChain-67,False
SkillChain-68,False
SkillChain-69,False
SkillChain-70,False
SkillChain-71,False
SkillChain-72,False
SkillChain-73,True
SkillChain-74,False
SkillChain-75,False
SkillChain-76,False
SkillChain-77,False
SkillChain-78,False
SkillChain-79,False
SkillChain-80,True
SkillChain-81,False
SkillChain-82,False
SkillChain-83,True
SkillChain-84,False
SkillChain-85,False
SkillChain-86,True
SkillChain-87,False
SkillChain-88,False
SkillChain-89,False
SkillChain-90,False
SkillChain-91,False
SkillChain-92,False
SkillChain-93,False
SkillChain-94,False
SkillChain-95,False
SkillChain-96,False
SkillChain-97,False
SkillChain-98,False
SkillChain-99,False
SkillChain-100,True
SkillChain-101,False
SkillChain-102,False
SkillChain-103,False
SkillChain-104,False
SkillChain-105,False
SkillChain-106,False
SkillChain-107,False
SkillChain-108,False
SkillChain-109,True
SkillChain-110,False
SkillChain-111,False
SkillChain-112,False
SkillChain-113,False
SkillChain-114,False
SkillChain-115,False
SkillChain-116,False
SkillChain-117,False
SkillChain-118,False
SkillChain-119,False
SkillChain-120,False
SkillChain-121,False
SkillChain-122,False
SkillChain-123,False
SkillChain-124,True
SkillChain-125,False
SkillChain-126,False
SkillChain-127,False
SkillChain-128,False
SkillChain-129,False
SkillChain-130,False
SkillChain-131,False
SkillChain-132,False
SkillChain-133,False
SkillChain-134,False
SkillChain-135,False
SkillChain-136,False
SkillChain-137,False
SkillChain-138,False
SkillChain-139,False
SkillChain-140,False
SkillChain-141,False
SkillChain-142,False
SkillChain-143,False
SkillChain-144,False
