option,salient event,num_goal_hits,num_on_policy_goal_hits,num_executions,success_rate
global_option,,0,0,132164,0.0
goal_option_1,RRT Salient Episode 5,529,525,2356,0.2228353140916808
goal_option_2,RRT Salient Episode 5,14,9,1748,0.005148741418764302
option_1_0,,1078,1072,3134,0.34205488194001277
option_1_0_0,,1048,1041,1534,0.6786179921773142
goal_option_3,RRT Salient Episode 205,9,2,1777,0.0011254924029262803
goal_option_4,RRT Salient Episode 405,2,0,1772,0.0
goal_option_5,RRT Salient Episode 605,8,0,508,0.0
option_2_0,,550,542,3120,0.1737179487179487
goal_option_6,RRT Salient Episode 805,0,0,913,0.0
goal_option_7,RRT Salient Episode 1005,4,0,685,0.0
goal_option_8,RRT Salient Episode 1205,0,0,497,0.0
goal_option_9,RRT Salient Episode 1405,7,2,339,0.0058997050147492625
goal_option_10,RRT Salient Episode 1605,2,0,182,0.0
option_3_0,,103,97,529,0.1833648393194707
goal_option_11,RRT Salient Episode 1815,8,0,47,0.0
goal_option_12,RRT Salient Episode 1816,0,0,61,0.0
goal_option_13,RRT Salient Episode 1817,2,0,69,0.0
goal_option_14,RRT Salient Episode 1818,4,0,41,0.0
goal_option_15,RRT Salient Episode 1819,8,0,62,0.0
goal_option_16,RRT Salient Episode 1820,3,0,57,0.0
goal_option_17,RRT Salient Episode 1821,1,0,49,0.0
goal_option_18,RRT Salient Episode 1822,0,0,50,0.0
goal_option_19,RRT Salient Episode 1823,1,0,57,0.0
goal_option_20,RRT Salient Episode 1824,5,0,22,0.0
goal_option_21,RRT Salient Episode 1825,0,0,57,0.0
goal_option_22,RRT Salient Episode 1826,1,0,68,0.0
goal_option_23,RRT Salient Episode 1837,2,0,48,0.0
goal_option_24,RRT Salient Episode 1848,10,2,74,0.02702702702702703
goal_option_25,RRT Salient Episode 1849,0,0,49,0.0
goal_option_26,RRT Salient Episode 1850,8,0,68,0.0
goal_option_27,RRT Salient Episode 1851,2,0,48,0.0
goal_option_28,RRT Salient Episode 1852,0,0,50,0.0
goal_option_29,RRT Salient Episode 1863,0,0,64,0.0
goal_option_30,RRT Salient Episode 1864,4,0,39,0.0
goal_option_31,RRT Salient Episode 1865,12,4,107,0.037383177570093455
goal_option_32,RRT Salient Episode 1876,9,1,17,0.058823529411764705
goal_option_33,RRT Salient Episode 1877,0,0,51,0.0
goal_option_34,RRT Salient Episode 1888,3,0,37,0.0
goal_option_35,RRT Salient Episode 1889,7,0,42,0.0
goal_option_36,RRT Salient Episode 1900,0,0,46,0.0
goal_option_37,RRT Salient Episode 1911,1,0,50,0.0
goal_option_38,RRT Salient Episode 1912,3,0,59,0.0
goal_option_39,RRT Salient Episode 1923,0,0,51,0.0
goal_option_40,RRT Salient Episode 1934,7,0,8,0.0
goal_option_41,RRT Salient Episode 1945,1,0,47,0.0
goal_option_42,RRT Salient Episode 1946,8,0,94,0.0
goal_option_43,RRT Salient Episode 1957,1,0,39,0.0
goal_option_44,RRT Salient Episode 1958,2,0,42,0.0
goal_option_45,RRT Salient Episode 1959,0,0,36,0.0
goal_option_46,RRT Salient Episode 1960,5,0,24,0.0
goal_option_47,RRT Salient Episode 1961,4,0,44,0.0
goal_option_48,RRT Salient Episode 1972,1,0,50,0.0
goal_option_49,RRT Salient Episode 1973,6,0,13,0.0
